Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Priority,Status,Custom field (Story point estimate),Time Spent,Created,Updated,Custom field (Start date),Due date,Labels,Labels,Labels,Labels
Task,HED-414,19573,CP - Implement the message informing the user that their account is locked and they must wait five minutes,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,2.0,9000,16/Feb/26 11:45 AM,02/Mar/26 11:38 AM,23/Feb/26 12:00 AM,23/Feb/26 12:00 AM,.NET,backend,cordobaPortal,
Task,HED-490,20828,CP - General - Improve and implement server error messages,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,In Progress,8.0,,03/Mar/26 11:23 AM,03/Mar/26 11:25 AM,03/Mar/26 12:00 AM,,cordobaPortal,frontend,react,
Task,HED-483,20629,CP - Update AWS Secrets Manager,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,IN REVIEW,2.0,7200,02/Mar/26 11:10 AM,02/Mar/26 11:28 AM,02/Mar/26 12:00 AM,02/Mar/26 12:00 AM,awsSecretsManager,cordobaPortal,,
Task,HED-476,20429,CP - Update documents sorting to be date-based only (backend),Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,1.0,1800,26/Feb/26 9:12 AM,03/Mar/26 9:18 AM,02/Mar/26 12:00 AM,03/Mar/26 12:00 AM,backend,cordobaPortal,,
Task,HED-472,20329,Protect CP branches,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,To Do,,,24/Feb/26 11:28 AM,02/Mar/26 1:56 PM,,,,,,
Task,HED-471,20296,CP - Implement an option to edit existing documents.,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,IN REVIEW,5.0,28800,24/Feb/26 10:45 AM,02/Mar/26 9:05 AM,27/Feb/26 12:00 AM,02/Mar/26 12:00 AM,cordobaPortal,frontend,graphql,react
Task,HED-467,20196,Review Front-end Error Management,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,In Progress,2.0,3600,20/Feb/26 1:37 PM,03/Mar/26 11:17 AM,20/Feb/26 12:00 AM,,cordobaPortal,frontend,,
Task,HED-452,19764,CP - Implement the message informing the user that he reached the OTP resend limit.,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,1.0,3600,17/Feb/26 9:18 AM,02/Mar/26 11:52 AM,24/Feb/26 12:00 AM,24/Feb/26 12:00 AM,.NET,backend,cordobaPortal,
Story,HED-453,19797,Automate GitHub action for package bump,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,To Do,5.0,,18/Feb/26 8:24 AM,02/Mar/26 7:10 AM,,,ci/cd,github,react,
Task,HED-487,20729,CX - Release the latest version of the iOS application.,rhiraldo,712020:fd36cadf-9806-42d0-93a9-02002d8431e5,High,IN REVIEW,1.0,,03/Mar/26 9:14 AM,04/Mar/26 8:25 AM,03/Mar/26 12:00 AM,03/Mar/26 12:00 AM,,,,
Task,HED-482,20596,Code Reviews Felipe + Nico,rhiraldo,712020:fd36cadf-9806-42d0-93a9-02002d8431e5,Medium,Done,2.0,,02/Mar/26 9:59 AM,02/Mar/26 4:35 PM,,,,,,
Task,HED-474,20363,CX - Update the carriers list in two places for Android,rhiraldo,712020:fd36cadf-9806-42d0-93a9-02002d8431e5,High,IN REVIEW,,,25/Feb/26 8:18 AM,02/Mar/26 7:10 AM,25/Feb/26 12:00 AM,,ios,swift,,
Task,HED-473,20362,CX - Update the carriers list in two places for iOS,rhiraldo,712020:fd36cadf-9806-42d0-93a9-02002d8431e5,High,IN REVIEW,,,25/Feb/26 8:18 AM,02/Mar/26 7:10 AM,25/Feb/26 12:00 AM,,ios,swift,,
Task,HED-470,20263,CX - Swift - How is the carriers list getting the ...,rhiraldo,712020:fd36cadf-9806-42d0-93a9-02002d8431e5,High,IN REVIEW,2.0,,23/Feb/26 10:42 AM,02/Mar/26 7:10 AM,23/Feb/26 12:00 AM,,,,,
Task,HED-469,20262,CX - SPIKE - Check DB to see how Carriers list and service providers works,rhiraldo,712020:fd36cadf-9806-42d0-93a9-02002d8431e5,High,IN REVIEW,2.0,,23/Feb/26 10:37 AM,02/Mar/26 7:10 AM,23/Feb/26 12:00 AM,,,,,
Task,HED-73,13863,Roberto's initial questions - project foundations,rhiraldo,712020:fd36cadf-9806-42d0-93a9-02002d8431e5,High,BLOCKED,2.0,,09/Dec/25 8:38 AM,02/Mar/26 7:10 AM,09/Dec/25 12:00 AM,,,,,
