Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Priority,Status,Custom field (Story point estimate),Time Spent,Created,Updated,Custom field (Start date),Due date,Labels,Labels,Labels,Labels
Task,HED-626,23401,CX - Issues - Meeting with Jonathan to check the process of calling ctx,Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,Medium,Done,2.0,,08/Apr/26 10:28 AM,14/Apr/26 6:39 PM,,,,,,
Task,HED-625,23400,CX - Summary for Active Users Android,Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,Medium,Done,2.0,,08/Apr/26 9:59 AM,08/Apr/26 10:00 AM,,,,,,
Task,HED-624,23399,"CX - Dashboard for Active Users (iOS, Android)",Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,Medium,Done,3.0,,08/Apr/26 9:59 AM,10/Apr/26 12:28 PM,,,,,,
Task,HED-623,23398,"CP - Internal Meeting - creditors, debts, transactions, settlements Wednesday",Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,Medium,Done,2.0,,08/Apr/26 9:58 AM,08/Apr/26 9:58 AM,,,,,,
Task,HED-616,23231,"CP - Internal Meeting - creditors, debts, transactions, settlements",Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,Medium,Done,2.0,,06/Apr/26 4:26 PM,08/Apr/26 9:58 AM,,,,,,
Task,HED-605,22993,Checking all Issues inside Slack group 2 / 2,Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,Medium,Done,5.0,,31/Mar/26 9:44 PM,08/Apr/26 9:57 AM,,,,,,
Task,HED-592,22788,CX - Checking all Issues inside Slack group 1 / 2 ,Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,Medium,Done,3.0,,30/Mar/26 9:38 AM,31/Mar/26 9:44 PM,,,,,,
Task,HED-588,22752,Claude Code in Action 5,Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,Medium,Done,3.0,,27/Mar/26 3:37 PM,30/Mar/26 9:37 AM,,,ai,certification,claude,studying
Task,HED-577,22549,Share with Joey information from the two App stores,Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,Medium,Done,2.0,,25/Mar/26 10:43 AM,30/Mar/26 9:37 AM,,,,,,
Task,HED-402,19429,Creating Scrub Space and videotutorials,Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,Medium,To Do,5.0,,13/Feb/26 11:35 AM,14/Apr/26 5:34 PM,,13/Mar/26 12:00 AM,scrub,scrubautomation,,
Task,HED-614,23229,"CP - Business Meeting (Daniel) - creditors, debts, transactions, settlements",Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,2.0,,06/Apr/26 4:23 PM,07/Apr/26 10:39 AM,,,,,,
Task,HED-612,23227,"CP - Internal Meeting - creditors, debts, transactions, settlements",Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,2.0,,06/Apr/26 4:21 PM,07/Apr/26 10:39 AM,,,,,,
Task,HED-315,17767,Dev environment - DNS,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,To Do,5.0,,26/Jan/26 9:09 AM,14/Apr/26 5:34 PM,,,,,,
Task,HED-657,23784,Optimize creditor name retrieval using debts endpoint,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,IN REVIEW / QA,3.0,18000,14/Apr/26 11:54 AM,15/Apr/26 10:05 AM,14/Apr/26 12:00 AM,15/Apr/26 12:00 AM,.NET,backend,cordobaPortal,
Task,HED-656,23783,Implement pagination logic for Forth transactions endpoint,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,IN REVIEW / QA,2.0,10800,14/Apr/26 11:49 AM,15/Apr/26 10:04 AM,14/Apr/26 12:00 AM,14/Apr/26 12:00 AM,.NET,backend,cordobaPortal,
Task,HED-633,23600,Follow up on Forth API issue with Get All Transactions pagination,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,1.0,4800,09/Apr/26 11:05 AM,09/Apr/26 11:07 AM,09/Apr/26 12:00 AM,09/Apr/26 12:00 AM,backend,cordobaPortal,,
