Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Priority,Status,Custom field (Story point estimate),Time Spent,Created,Updated,Custom field (Start date),Due date,Labels,Labels,Labels,Labels
Task,HED-750,24906,Two projects explanation,Diana Maribel Adarme Dominguez,712020:aa58d0f0-01dc-4b39-bab7-538a16905fea,Medium,Done,5.0,,24/Apr/26 10:46 AM,24/Apr/26 10:46 AM,,,,,,
Task,HED-740,24830,Checking IN REVIEW / QA column,Diana Maribel Adarme Dominguez,712020:aa58d0f0-01dc-4b39-bab7-538a16905fea,Medium,Done,3.0,,23/Apr/26 3:22 PM,28/Apr/26 8:53 AM,,,creditorx,QA,,
Task,HED-738,24764,Installing and configuring macbook,Diana Maribel Adarme Dominguez,712020:aa58d0f0-01dc-4b39-bab7-538a16905fea,Medium,Done,5.0,,23/Apr/26 11:09 AM,24/Apr/26 10:45 AM,,,,,,
Task,HED-736,24730,Checking IN REVIEW / QA column,Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,Medium,Done,3.0,,23/Apr/26 10:31 AM,28/Apr/26 8:54 AM,,,creditorx,QA,,
Task,HED-734,24664,Starting and assigning tasks to Diana,Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,Medium,Done,,,23/Apr/26 9:37 AM,23/Apr/26 9:50 AM,,,,,,
Task,HED-702,24278,CX - Migrating and creating Jira tickets for Slack Issues - Monday,Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,Medium,Done,2.0,,20/Apr/26 8:06 AM,23/Apr/26 9:36 AM,,,,,,
Task,HED-697,24145,Interviews for Sr and Mid Devs 2,Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,Medium,Done,5.0,,17/Apr/26 8:53 AM,20/Apr/26 8:06 AM,,,interviews,managing,,
Task,HED-696,24144,Interviews for Sr and Mid Devs,Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,Medium,Done,5.0,,17/Apr/26 8:51 AM,17/Apr/26 8:53 AM,,,interviews,managing,,
Task,HED-685,23845,CX - Create a confluence for testing or QA / Basics,Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,Medium,Done,2.0,,14/Apr/26 6:53 PM,21/Apr/26 4:11 PM,,,,,,
Task,HED-683,23843,CX - Migrating and creating Jira tickets for Slack Issues / Day 2,Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,Medium,Done,2.0,,14/Apr/26 6:49 PM,17/Apr/26 8:51 AM,,,,,,
Task,HED-682,23842,CX - Migrating and creating Jira tickets for Slack Issues,Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,Medium,Done,2.0,,14/Apr/26 6:48 PM,14/Apr/26 6:49 PM,,,,,,
Task,HED-679,23839,CX / Grooming Meeting,Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,Medium,Done,2.0,,14/Apr/26 6:45 PM,14/Apr/26 6:47 PM,,,creditorx,grooming,meeting,
Task,HED-675,23835,CP - Grooming Meeting 2 de 2,Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,Medium,Done,3.0,,14/Apr/26 6:42 PM,14/Apr/26 6:44 PM,,,cordobaPortal,grooming,meeting,
Task,HED-670,23830,Sprint Meeting / starting on Monday - 2hrs,Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,Medium,Done,2.0,,14/Apr/26 6:38 PM,14/Apr/26 6:40 PM,,,meeting,,,
Task,HED-626,23401,CX - Issues - Meeting with Jonathan to check the process of calling ctx,Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,Medium,Done,2.0,,08/Apr/26 10:28 AM,14/Apr/26 6:39 PM,,,,,,
Task,HED-73,13863,Roberto's initial questions - project foundations,Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,High,Done,2.0,,09/Dec/25 8:38 AM,27/Apr/26 10:16 AM,09/Dec/25 12:00 AM,,,,,
Task,HED-733,24631,Merge develop into main and validate stability,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,2.0,9000,23/Apr/26 8:56 AM,24/Apr/26 10:38 AM,23/Apr/26 12:00 AM,23/Apr/26 12:00 AM,backend,cordobaPortal,frontend,
Task,HED-732,24598,Investigate OTP behavior when no phone number is set in Forth,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,1.0,3600,23/Apr/26 8:26 AM,23/Apr/26 8:28 AM,22/Apr/26 12:00 AM,22/Apr/26 12:00 AM,backend,cordobaPortal,forth,
Task,HED-725,24494,Fix dashboard colors based on creditor status,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,1.0,7200,22/Apr/26 9:20 AM,23/Apr/26 4:02 PM,21/Apr/26 12:00 AM,22/Apr/26 12:00 AM,cordobaPortal,frontend,react,
Task,HED-724,24461,Review frontend pull requests from Nico - 2,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,1.0,7200,22/Apr/26 8:19 AM,22/Apr/26 8:22 AM,21/Apr/26 12:00 AM,21/Apr/26 12:00 AM,cordobaPortal,,,
Task,HED-718,24359,Handle non-settlement debts (full payment without fees) and adjust chart behavior,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,1.0,7200,20/Apr/26 12:38 PM,24/Apr/26 10:23 AM,22/Apr/26 12:00 AM,23/Apr/26 12:00 AM,.NET,backend,cordobaPortal,
Task,HED-717,24358,Verify and fix lump sum settlement transaction duplication issue,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,1.0,3600,20/Apr/26 12:37 PM,23/Apr/26 4:12 PM,23/Apr/26 12:00 AM,23/Apr/26 12:00 AM,.NET,backend,cordobaPortal,
Task,HED-716,24357,Fix lawsuit case card and related logic,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,1.0,7200,20/Apr/26 12:30 PM,23/Apr/26 4:02 PM,22/Apr/26 12:00 AM,23/Apr/26 12:00 AM,.NET,backend,cordobaPortal,frontend
Task,HED-714,24322,Improve next settlement payment calculation logic,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,2.0,,20/Apr/26 10:33 AM,22/Apr/26 4:42 PM,21/Apr/26 12:00 AM,22/Apr/26 12:00 AM,.NET,backend,cordobaPortal,frontend
Task,HED-713,24321,Clean GetDebts response by removing null and zero-only fields,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,1.0,6000,20/Apr/26 10:29 AM,22/Apr/26 4:42 PM,22/Apr/26 12:00 AM,22/Apr/26 12:00 AM,.NET,backend,cordobaPortal,
Task,HED-712,24320,Display settlement progress in creditors list,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,2.0,10800,20/Apr/26 10:27 AM,22/Apr/26 8:17 AM,20/Apr/26 12:00 AM,20/Apr/26 12:00 AM,.NET,backend,cordobaPortal,frontend
Task,HED-711,24319,Implement creditor status classification logic,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,2.0,10800,20/Apr/26 10:23 AM,22/Apr/26 8:17 AM,20/Apr/26 12:00 AM,20/Apr/26 12:00 AM,.NET,backend,cordobaPortal,
Bug,HED-701,24245,Bug: Missing debt date breaks creditors section,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,1.0,1800,17/Apr/26 3:04 PM,20/Apr/26 10:21 AM,,20/Apr/26 12:00 AM,.NET,backend,cordobaPortal,
Task,HED-700,24212,Add Cordoba and Forth Fees to transactions endpoint,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,1.0,4200,17/Apr/26 1:07 PM,20/Apr/26 1:29 PM,17/Apr/26 12:00 AM,17/Apr/26 12:00 AM,.NET,backend,cordobaPortal,
Task,HED-699,24211,Prepare performance comparison for creditors section changes,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,1.0,5400,17/Apr/26 1:03 PM,17/Apr/26 1:04 PM,16/Apr/26 12:00 AM,17/Apr/26 12:00 AM,cordobaPortal,,,
Task,HED-698,24178,Refactor creditors section to avoid heavy endpoints (Fronted),Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,1.0,1800,17/Apr/26 12:07 PM,20/Apr/26 10:20 AM,16/Apr/26 12:00 AM,17/Apr/26 12:00 AM,cordobaPortal,frontend,,
Task,HED-691,24011,Refactor creditors section to avoid heavy endpoints,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,3.0,18000,16/Apr/26 12:15 PM,20/Apr/26 10:20 AM,16/Apr/26 12:00 AM,17/Apr/26 12:00 AM,.NET,backend,cordobaPortal,
Task,HED-690,23978,Fix Transactions summary table calculations (Frontend),Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,1.0,1800,16/Apr/26 11:16 AM,16/Apr/26 11:25 AM,15/Apr/26 12:00 AM,16/Apr/26 12:00 AM,cordobaPortal,frontend,,
Task,HED-689,23945,Review backend and frontend pull requests from Nico,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,1.0,7200,16/Apr/26 10:07 AM,22/Apr/26 8:19 AM,16/Apr/26 12:00 AM,16/Apr/26 12:00 AM,cordobaPortal,,,
Task,HED-688,23912,Fix Transactions summary table calculations,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,3.0,19200,15/Apr/26 1:14 PM,16/Apr/26 11:28 AM,15/Apr/26 12:00 AM,15/Apr/26 12:00 AM,.NET,backend,cordobaPortal,forth
Task,HED-677,23837,CP - Grooming Meeting 2 de 2,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,3.0,,14/Apr/26 6:44 PM,14/Apr/26 6:44 PM,,,cordobaPortal,grooming,meeting,
Task,HED-673,23833,Sprint Meeting / starting on Monday - 2hrs,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,2.0,,14/Apr/26 6:39 PM,14/Apr/26 6:41 PM,,,meeting,,,
Task,HED-657,23784,Optimize creditor name retrieval using debts endpoint - Transactions Section,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,3.0,18000,14/Apr/26 11:54 AM,16/Apr/26 11:29 AM,14/Apr/26 12:00 AM,15/Apr/26 12:00 AM,.NET,backend,cordobaPortal,
Task,HED-656,23783,Implement pagination logic for Forth transactions endpoint,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,2.0,10800,14/Apr/26 11:49 AM,16/Apr/26 9:05 AM,14/Apr/26 12:00 AM,14/Apr/26 12:00 AM,.NET,backend,cordobaPortal,
Task,HED-739,24797,CP - Update creditor status labels and tab naming in Debts section,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,1.0,5400,23/Apr/26 2:03 PM,24/Apr/26 8:03 AM,23/Apr/26 12:00 AM,23/Apr/26 12:00 AM,cordobaPortal,frontend,,
Task,HED-735,24697,CP - Merge develop into main and validate stability,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,2.0,7200,23/Apr/26 10:02 AM,23/Apr/26 2:06 PM,23/Apr/26 12:00 AM,23/Apr/26 12:00 AM,backend,cordobaPortal,frontend,
Task,HED-730,24532,"SPIKE - Check how and where should we store the PEM files to access servers, bastions, etc  (G)",Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,2.0,14400,22/Apr/26 10:28 AM,28/Apr/26 8:29 AM,24/Apr/26 12:00 AM,27/Apr/26 12:00 AM,aws,DevOps,Spike,
Task,HED-720,24361,CP - (Front) Add Cordoba and Forth Fees data to transactions section,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,2.0,16200,20/Apr/26 1:28 PM,23/Apr/26 9:56 AM,22/Apr/26 12:00 AM,23/Apr/26 12:00 AM,cordobaPortal,frontend,react,
Task,HED-719,24360,CP - Enable numeric keyboard for OTP inputs on mobile,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,1.0,1800,20/Apr/26 12:59 PM,23/Apr/26 9:56 AM,22/Apr/26 12:00 AM,22/Apr/26 12:00 AM,cordobaPortal,frontend,,
Task,HED-695,24111,CP - Create reusable tooltip component for term explanations,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,1.0,3600,17/Apr/26 8:16 AM,23/Apr/26 9:56 AM,17/Apr/26 12:00 AM,17/Apr/26 12:00 AM,cordobaPortal,frontend,react,
Task,HED-692,24012,CP - Update helpinfo endpoint to allow unauthenticated access,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,1.0,600,16/Apr/26 12:16 PM,23/Apr/26 9:56 AM,17/Apr/26 12:00 AM,17/Apr/26 12:00 AM,backend,cordobaPortal,,
Task,HED-676,23836,CP - Grooming Meeting 2 de 2,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,3.0,,14/Apr/26 6:43 PM,14/Apr/26 6:44 PM,,,cordobaPortal,grooming,meeting,
Task,HED-672,23832,Sprint Meeting / starting on Monday - 2hrs,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,2.0,,14/Apr/26 6:39 PM,14/Apr/26 6:45 PM,,,meeting,,,
Task,HED-655,23782,CP - (Responsive) Creditor Detail Component is shown as empty state above of creditor list,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,1.0,1200,14/Apr/26 11:30 AM,23/Apr/26 9:56 AM,14/Apr/26 12:00 AM,15/Apr/26 12:00 AM,cordobaPortal,frontend,,
Task,HED-653,23716,CP - Store user enrollment date in cookies at login,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,1.0,7200,13/Apr/26 9:01 AM,23/Apr/26 9:56 AM,14/Apr/26 12:00 AM,14/Apr/26 12:00 AM,backend,cordobaPortal,frontend,
Task,HED-652,23715,CP - Implement settlements endpoint in frontend for Statements section,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,3.0,14400,13/Apr/26 8:51 AM,23/Apr/26 9:56 AM,14/Apr/26 12:00 AM,15/Apr/26 12:00 AM,cordobaPortal,frontend,,
Task,HED-649,23680,CP - Add padding to FAQ card title in Support section (mobile),Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,1.0,1200,10/Apr/26 10:14 AM,23/Apr/26 9:56 AM,17/Apr/26 12:00 AM,17/Apr/26 12:00 AM,cordobaPortal,frontend,react,
Task,HED-648,23679,CP - Fix Task detail card UI and align with design,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,1.0,7200,10/Apr/26 10:13 AM,23/Apr/26 9:56 AM,21/Apr/26 12:00 AM,21/Apr/26 12:00 AM,cordobaPortal,frontend,react,
Task,HED-646,23677,CP - Fix transactions table: creditors column & amount display,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,2.0,10800,10/Apr/26 9:36 AM,23/Apr/26 9:56 AM,21/Apr/26 12:00 AM,21/Apr/26 12:00 AM,cordobaPortal,frontend,react,
Task,HED-644,23675,CP - Display user email in menu popup,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,1.0,,10/Apr/26 9:30 AM,23/Apr/26 9:56 AM,14/Apr/26 12:00 AM,15/Apr/26 12:00 AM,backend,cordobaPortal,frontend,
Task,HED-643,23674,CP - Enhance OTP component (helper section),Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,3.0,14400,10/Apr/26 9:23 AM,23/Apr/26 9:56 AM,17/Apr/26 12:00 AM,20/Apr/26 12:00 AM,cordobaPortal,frontend,,
Task,HED-641,23672,CP - Ensure “Previous step” button in onboarding flow,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,1.0,2400,10/Apr/26 9:20 AM,23/Apr/26 9:56 AM,15/Apr/26 12:00 AM,15/Apr/26 12:00 AM,cordobaPortal,frontend,,
