Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Priority,Status,Custom field (Story point estimate),Time Spent,Created,Updated,Custom field (Start date),Due date,Labels,Labels,Labels,Labels
Task,HED-788,25524,Checking Issues 3,Diana Maribel Adarme Dominguez,712020:aa58d0f0-01dc-4b39-bab7-538a16905fea,Medium,In Progress,5.0,,30/Apr/26 2:01 PM,30/Apr/26 2:02 PM,,,creditorx,,,
Task,HED-769,25213,Checking Issues,Diana Maribel Adarme Dominguez,712020:aa58d0f0-01dc-4b39-bab7-538a16905fea,Medium,Done,5.0,,28/Apr/26 10:41 AM,30/Apr/26 2:02 PM,,,creditorx,,,
Task,HED-764,25176,Configuring and doing local testing,Diana Maribel Adarme Dominguez,712020:aa58d0f0-01dc-4b39-bab7-538a16905fea,Medium,Done,2.0,10800,28/Apr/26 9:54 AM,28/Apr/26 10:09 AM,,,creditorx,database,mysql,testing
Task,HED-752,24940,CP - Backend / Access to Database for Issues clasification,Diana Maribel Adarme Dominguez,712020:aa58d0f0-01dc-4b39-bab7-538a16905fea,Medium,Done,2.0,,27/Apr/26 8:40 AM,28/Apr/26 10:09 AM,,,creditorx,DevOps,mysql,
Task,HED-740,24830,Checking IN REVIEW / QA column 1,Diana Maribel Adarme Dominguez,712020:aa58d0f0-01dc-4b39-bab7-538a16905fea,Medium,Done,3.0,18000,23/Apr/26 3:22 PM,28/Apr/26 10:01 AM,,,creditorx,QA,,
Task,HED-768,25212,Checking Issues,Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,Medium,Done,5.0,,28/Apr/26 10:41 AM,30/Apr/26 2:03 PM,,,creditorx,,,
Task,HED-737,24731,CX - Updating confluence for testing or QA / Basics,Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,Medium,In Progress,,,23/Apr/26 10:31 AM,04/May/26 11:19 AM,,,,,,
Task,HED-736,24730,Checking IN REVIEW / QA column,Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,Medium,Done,3.0,,23/Apr/26 10:31 AM,28/Apr/26 8:54 AM,,,creditorx,QA,,
Task,HED-684,23844,CX - Creating Page with Summary of Issues,Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,Medium,In Progress,5.0,,14/Apr/26 6:51 PM,04/May/26 11:19 AM,,,creditorx,issues,,
Task,HED-650,23681,CX - Issue about phone number for Login / OTP,Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,Medium,To Do,,,10/Apr/26 10:17 AM,28/Apr/26 11:06 AM,,,,,,
Task,HED-790,25590,Progress on AWS Developer Associate course sections,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,In Progress,5.0,,04/May/26 8:46 AM,04/May/26 8:47 AM,04/May/26 12:00 AM,08/May/26 12:00 AM,aws,courses,,
Task,HED-783,25421,Mini-Refactor transaction status definitions and handling,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,IN REVIEW / QA,2.0,10800,29/Apr/26 3:34 PM,30/Apr/26 12:36 PM,30/Apr/26 12:00 AM,30/Apr/26 12:00 AM,.NET,backend,cordobaPortal,
Task,HED-782,25420,Filter co-applicants during login to prevent duplicate email access,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,IN REVIEW / QA,1.0,7200,29/Apr/26 3:30 PM,30/Apr/26 8:07 AM,29/Apr/26 12:00 AM,29/Apr/26 12:00 AM,.NET,backend,cordobaPortal,
Task,HED-778,25352,Implement version management and release workflow in backend repository,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,In Progress,2.0,,29/Apr/26 10:46 AM,30/Apr/26 9:01 AM,29/Apr/26 12:00 AM,30/Apr/26 12:00 AM,backend,cordobaPortal,github,
Task,HED-777,25351,Mask and display client phone number for OTP delivery,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,READY FOR DEPLOYMENT,1.0,7200,29/Apr/26 10:46 AM,30/Apr/26 8:07 AM,29/Apr/26 12:00 AM,29/Apr/26 12:00 AM,.NET,backend,cordobaPortal,
Task,HED-761,25141,Complete AWS Developer Associate course section: Fundamentals and AWS Accounts,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,2.0,10800,28/Apr/26 9:07 AM,28/Apr/26 4:45 PM,28/Apr/26 12:00 AM,28/Apr/26 12:00 AM,aws,courses,,
Task,HED-757,25073,Restrict allowed document types across document endpoints,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,READY FOR DEPLOYMENT,2.0,9000,27/Apr/26 2:46 PM,29/Apr/26 8:13 AM,27/Apr/26 12:00 AM,28/Apr/26 12:00 AM,.NET,backend,cordobaPortal,
Task,HED-468,20229,Spike: Mini Todo-Task project using Cordoba Portal backend architecture,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,IN REVIEW / QA,8.0,57600,23/Feb/26 8:56 AM,28/Apr/26 9:40 AM,22/Apr/26 12:00 AM,28/Apr/26 12:00 AM,.NET,cordobaPortal,Spike,
Task,HED-791,25623,CP - Show OTP destination number in OTP component,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,To Do,1.0,,04/May/26 11:06 AM,04/May/26 11:08 AM,04/May/26 12:00 AM,04/May/26 12:00 AM,cordobaPortal,frontend,react,
Task,HED-789,25557,CP - Research Google Analytics,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,IN REVIEW / QA,3.0,,01/May/26 8:15 AM,04/May/26 9:47 AM,01/May/26 12:00 AM,01/May/26 12:00 AM,analytics,cordobaPortal,frontend,
Task,HED-785,25489,CP - Update canceled transaction logic in Transactions table,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,To Do,1.0,,30/Apr/26 9:40 AM,30/Apr/26 9:42 AM,,,cordobaPortal,frontend,react,
Task,HED-784,25488,Cp - Update canceled transaction logic in Transactions table,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,In Progress,1.0,,30/Apr/26 9:40 AM,04/May/26 10:02 AM,04/May/26 12:00 AM,04/May/26 12:00 AM,cordobaPortal,frontend,react,
Task,HED-776,25350,CP - Implement version management and release workflow in Cordoba Portal frontend,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,3.0,18000,29/Apr/26 10:13 AM,30/Apr/26 4:27 PM,29/Apr/26 12:00 AM,30/Apr/26 12:00 AM,ci/cd,cordobaPortal,DevOps,frontend
Task,HED-647,23678,Implement AWS Systems Manager Session Manager example,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Low,To Do,8.0,,10/Apr/26 10:03 AM,27/Apr/26 12:26 PM,,,,,,
Task,HED-583,22651,CP - Implement Lighthouse audits for performance review,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Low,To Do,3.0,,27/Mar/26 8:43 AM,27/Apr/26 12:26 PM,,,cordobaPortal,frontend,performance,
Story,HED-453,19797,Automate GitHub action for package bump,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,5.0,,18/Feb/26 8:24 AM,29/Apr/26 10:19 AM,27/Apr/26 12:00 AM,28/Apr/26 12:00 AM,ci/cd,DevOps,github,react
Task,HED-347,18188,CP - Consolidate default branch: merge prod into main and update pipeline,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Low,Done,3.0,10800,02/Feb/26 2:06 PM,01/May/26 8:07 AM,30/Apr/26 12:00 AM,30/Apr/26 12:00 AM,cordobaPortal,DevOps,frontend,github
Task,HED-779,25353,"SPIKE - CX - Understand if there is logging for redirected calls with kazoo, CX",rhiraldo,712020:fd36cadf-9806-42d0-93a9-02002d8431e5,Medium,In Progress,8.0,,29/Apr/26 11:20 AM,30/Apr/26 2:54 PM,,,,,,
Task,HED-770,25214,SPIKE - Check how to validate if the USSD Command has been correctly configured from the Android phone directly,rhiraldo,712020:fd36cadf-9806-42d0-93a9-02002d8431e5,High,In Progress,8.0,,28/Apr/26 11:01 AM,28/Apr/26 11:13 AM,,,android,creditorx,,
Task,HED-754,25006,Create credentials for Guillermo on aws accounts,rhiraldo,712020:fd36cadf-9806-42d0-93a9-02002d8431e5,Medium,Done,1.0,,27/Apr/26 10:17 AM,27/Apr/26 11:28 AM,,,,,,
Task,HED-567,22315,CX - Create an account or access for the iOS App Store for Joey,rhiraldo,712020:fd36cadf-9806-42d0-93a9-02002d8431e5,Medium,BLOCKED,1.0,,24/Mar/26 11:19 AM,28/Apr/26 8:52 AM,,,,,,
Task,HED-507,21165,SPIKE Automate iOS alerts and notifications,rhiraldo,712020:fd36cadf-9806-42d0-93a9-02002d8431e5,High,BLOCKED,,,11/Mar/26 10:21 AM,28/Apr/26 8:52 AM,,,android,DevOps,,
Task,HED-787,25491,Chat with @Diana - Cloudwatch logs and issues 30.4.2026,Samil Vargas,712020:dac1dce4-8aa1-4b7e-8cd4-12205fb8c6e4,Medium,Done,2.0,,30/Apr/26 10:34 AM,30/Apr/26 10:35 AM,,,,,,
