Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Priority,Status,Custom field (Story point estimate),Time Spent,Created,Updated,Custom field (Start date),Due date,Labels,Labels,Labels,Labels
Task,HED-259,17273,First infra deployment to stage,daniel.rubiano,712020:9ffe8822-63aa-40d8-8abe-4806caf3e1ce,Medium,Done,2.0,,16/Jan/26 2:51 PM,19/Jan/26 10:58 AM,,,,,,
Task,HED-255,17269,Pipeline Infra should create only necessaries services,daniel.rubiano,712020:9ffe8822-63aa-40d8-8abe-4806caf3e1ce,Medium,Done,3.0,,16/Jan/26 8:31 AM,16/Jan/26 2:51 PM,,,,,,
Task,HED-250,17232,First Infra Deploy,daniel.rubiano,712020:9ffe8822-63aa-40d8-8abe-4806caf3e1ce,Medium,Done,3.0,,15/Jan/26 1:19 PM,16/Jan/26 8:37 AM,,,,,,
Task,HED-247,17133,Test infra deployment in new AWS account,daniel.rubiano,712020:9ffe8822-63aa-40d8-8abe-4806caf3e1ce,Medium,Done,3.0,,14/Jan/26 1:17 PM,15/Jan/26 1:50 PM,,,,,,
Task,HED-243,17032,Test auth OIDC github actions deploy ,daniel.rubiano,712020:9ffe8822-63aa-40d8-8abe-4806caf3e1ce,Medium,Done,3.0,,13/Jan/26 3:16 PM,14/Jan/26 12:43 PM,,,,,,
Task,HED-239,16996,Debug deploy in github action,daniel.rubiano,712020:9ffe8822-63aa-40d8-8abe-4806caf3e1ce,Medium,Done,3.0,,13/Jan/26 9:41 AM,13/Jan/26 3:03 PM,,,,,,
Task,HED-228,16918,Validate pipeline options- gitlab vs git actions for first deployment,daniel.rubiano,712020:9ffe8822-63aa-40d8-8abe-4806caf3e1ce,Medium,Done,3.0,,12/Jan/26 2:05 PM,13/Jan/26 9:40 AM,,,,,,
Task,HED-216,16773,Diagram High level Infra AWS,daniel.rubiano,712020:9ffe8822-63aa-40d8-8abe-4806caf3e1ce,Medium,Done,3.0,,09/Jan/26 11:23 AM,13/Jan/26 2:29 PM,,,,,,
Task,HED-213,16704,Validate Refactor folder structure Terraform project,daniel.rubiano,712020:9ffe8822-63aa-40d8-8abe-4806caf3e1ce,Medium,Done,3.0,,08/Jan/26 9:40 AM,09/Jan/26 9:52 AM,,,,,,
Task,HED-210,16667,Start config pipeline FrontEnd,daniel.rubiano,712020:9ffe8822-63aa-40d8-8abe-4806caf3e1ce,Medium,Done,3.0,,07/Jan/26 12:11 PM,09/Jan/26 9:52 AM,,,,,,
Task,HED-205,16560,Review file .gitlab-ci.yml,daniel.rubiano,712020:9ffe8822-63aa-40d8-8abe-4806caf3e1ce,Medium,Done,2.0,,06/Jan/26 10:20 AM,09/Jan/26 11:28 AM,06/Jan/26 12:00 AM,07/Jan/26 12:00 AM,git,,,
Task,HED-242,17031,CP - Document AWS Architecture Diagrams in Confluence (v0.1),daniel.rubiano,712020:9ffe8822-63aa-40d8-8abe-4806caf3e1ce,Medium,Done,2.0,,13/Jan/26 2:19 PM,14/Jan/26 2:12 PM,14/Jan/26 12:00 AM,14/Jan/26 12:00 AM,documentation,,,
Task,HED-221,16843,Review of production services - terraform,daniel.rubiano,712020:9ffe8822-63aa-40d8-8abe-4806caf3e1ce,Medium,Done,3.0,,12/Jan/26 9:07 AM,13/Jan/26 2:30 PM,,,,,,
Task,HED-218,16775,Create AWS Environment Architecture Diagram (Detailed View),daniel.rubiano,712020:9ffe8822-63aa-40d8-8abe-4806caf3e1ce,Medium,Done,5.0,,09/Jan/26 11:30 AM,14/Jan/26 9:33 AM,12/Jan/26 12:00 AM,12/Jan/26 12:00 AM,,,,
Task,HED-217,16774,Create AWS High-Level Architecture Diagram (Top View),daniel.rubiano,712020:9ffe8822-63aa-40d8-8abe-4806caf3e1ce,Medium,Done,3.0,,09/Jan/26 11:30 AM,14/Jan/26 9:33 AM,12/Jan/26 12:00 AM,12/Jan/26 12:00 AM,,,,
Task,HED-203,16556,Deploy locally auth service and frontend,daniel.rubiano,712020:9ffe8822-63aa-40d8-8abe-4806caf3e1ce,Medium,Done,2.0,,06/Jan/26 8:57 AM,20/Jan/26 2:47 PM,06/Jan/26 12:00 AM,16/Jan/26 12:00 AM,,,,
Task,HED-252,17234,Read and update confluence doc,Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,Medium,Done,3.0,,15/Jan/26 3:56 PM,29/Jan/26 11:44 AM,16/Jan/26 12:00 AM,29/Jan/26 12:00 AM,,,,
Task,HED-248,17166,SPIKE -> PA,Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,Medium,Done,3.0,,14/Jan/26 2:15 PM,19/Jan/26 8:29 AM,14/Jan/26 12:00 AM,15/Jan/26 12:00 AM,,,,
Task,HED-241,17030,Get AWS new account for CP (Dev & Staging),Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,Medium,Done,2.0,,13/Jan/26 2:17 PM,14/Jan/26 2:16 PM,,,,,,
Task,HED-240,17029,Get Aren user for creditor X,Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,Medium,Done,1.0,,13/Jan/26 1:49 PM,13/Jan/26 1:49 PM,08/Jan/26 12:00 AM,09/Jan/26 12:00 AM,cordobaPortal,,,
Task,HED-194,15752,Get both users for APP and Laravel ADMIN URGENT,Guillermo Malagón,712020:313307ce-3202-4da7-b5a3-adcbee32f188,Medium,Done,2.0,,29/Dec/25 10:11 AM,14/Jan/26 2:16 PM,,,,,,
Task,HED-251,17233,1.1. Update confluence E2E testing - Summary table,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,3.0,18000,15/Jan/26 3:35 PM,19/Jan/26 2:34 PM,16/Jan/26 12:00 AM,16/Jan/26 12:00 AM,documentation,testing,,
Task,HED-226,16883,3.8. Implement or fix E2E Smoke Tests for CREDITORS (UI),Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,5.0,25200,12/Jan/26 11:36 AM,19/Jan/26 2:34 PM,14/Jan/26 12:00 AM,15/Jan/26 12:00 AM,.NET,cordobaPortal,testing,
Task,HED-224,16879,3.6. Define CREDITORS Critical Flows (Test Scope),Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,2.0,14400,12/Jan/26 11:29 AM,19/Jan/26 2:34 PM,12/Jan/26 12:00 AM,13/Jan/26 12:00 AM,documentation,e2e,testing,
Task,HED-222,16876,3.3. Spike - e2e & integration testing,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,High,Done,1.0,9000,12/Jan/26 11:15 AM,13/Jan/26 9:03 AM,12/Jan/26 12:00 AM,12/Jan/26 12:00 AM,documentation,testing,,
Task,HED-206,16594,2.6. Create proxy for back-end microservices and connect with front-end,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,2.0,14400,06/Jan/26 4:21 PM,09/Jan/26 2:53 PM,07/Jan/26 12:00 AM,09/Jan/26 12:00 AM,backend,cordobaPortal,docker,frontend
Task,HED-151,15400,3.1. Test coverage assessment,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,2.0,10800,18/Dec/25 8:38 AM,12/Jan/26 3:46 PM,09/Jan/26 12:00 AM,09/Jan/26 12:00 AM,cordobaPortal,cypress,testing,
Task,HED-149,15396,2.4. Entity Relationship diagram,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,3.0,16200,18/Dec/25 8:37 AM,12/Jan/26 9:00 AM,26/Dec/25 12:00 AM,06/Jan/26 12:00 AM,database,documentation,,
Task,HED-238,16963,3.5. Implement the first Creditors section E2E test,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,3.0,14400,12/Jan/26 4:03 PM,14/Jan/26 8:59 AM,12/Jan/26 12:00 AM,13/Jan/26 12:00 AM,documentation,e2e,testing,
Task,HED-237,16961,3.4. Plan Creditors Section E2E Tests,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,High,Done,1.0,5400,12/Jan/26 3:49 PM,14/Jan/26 8:40 AM,12/Jan/26 12:00 AM,12/Jan/26 12:00 AM,documentation,e2e,testing,
Task,HED-220,16810,3.2. Plan Dashboard E2E Tests,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,2.0,6000,09/Jan/26 3:27 PM,14/Jan/26 8:37 AM,09/Jan/26 12:00 AM,12/Jan/26 12:00 AM,e2e,testing,,
Task,HED-214,16737,2.7. Spike: Review AWS Services,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,2.0,14400,08/Jan/26 3:47 PM,09/Jan/26 3:02 PM,08/Jan/26 12:00 AM,08/Jan/26 12:00 AM,aws,documentation,infrastructure,
Task,HED-200,16386,"2.5. Map, run and test services",Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,3.0,19800,05/Jan/26 9:20 AM,07/Jan/26 8:14 AM,05/Jan/26 12:00 AM,07/Jan/26 12:00 AM,backend,cordobaPortal,documentation,
Task,HED-177,15649,1.6. Backend: get data from GraphQL (profile service),Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,2.0,5400,26/Dec/25 9:30 AM,07/Jan/26 8:09 AM,23/Dec/25 12:00 AM,02/Jan/26 12:00 AM,.NET,backend,cordobaPortal,docker
Task,HED-249,17199,Test flight creation and users added for testing,rhiraldo,712020:fd36cadf-9806-42d0-93a9-02002d8431e5,Medium,Done,2.0,7200,15/Jan/26 9:12 AM,28/Jan/26 9:11 AM,15/Jan/26 12:00 AM,15/Jan/26 12:00 AM,creditorx,ios,store,
Task,HED-212,16702,Case Tracker - Server Down,rhiraldo,712020:fd36cadf-9806-42d0-93a9-02002d8431e5,Medium,Done,1.0,,08/Jan/26 9:13 AM,20/Jan/26 2:09 PM,,,,,,
