Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Priority,Status,Custom field (Story point estimate),Time Spent,Created,Updated,Custom field (Start date),Due date,Labels,Labels,Labels,Labels
Task,HED-513,21299,CP - Prepare UAT completion and meeting with Aren,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,2.0,10800,12/Mar/26 11:43 AM,12/Mar/26 12:00 PM,11/Mar/26 12:00 AM,12/Mar/26 12:00 AM,cordobaPortal,meeting,testing,
Task,HED-502,21032,Fix user lock behavior and language display when updating terms,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,1.0,2100,09/Mar/26 3:37 PM,09/Mar/26 3:40 PM,09/Mar/26 12:00 AM,09/Mar/26 12:00 AM,cordobaPortal,database,frontend,
Task,HED-493,20895,Quality time with the boss,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,5.0,57600,06/Mar/26 7:12 AM,13/Mar/26 8:15 AM,04/Mar/26 12:00 AM,06/Mar/26 12:00 AM,meeting,,,
Task,HED-489,20795,"CP - Merge pull requests, clean up branches, and validate changes in develop",Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,1.0,4800,03/Mar/26 10:54 AM,03/Mar/26 11:14 AM,03/Mar/26 12:00 AM,03/Mar/26 12:00 AM,.NET,backend,cordobaPortal,testing
Task,HED-485,20663,Validate Date of Birth functionality in CreditorX Android App,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,1.0,1800,02/Mar/26 2:30 PM,02/Mar/26 2:33 PM,02/Mar/26 12:00 AM,02/Mar/26 12:00 AM,creditorx,testing,,
Bug,HED-480,20562,CP - The admin modal should display the current language of the video and terms during UPDATES.,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,1.0,2400,02/Mar/26 7:47 AM,02/Mar/26 11:16 AM,02/Mar/26 12:00 AM,02/Mar/26 12:00 AM,cordobaPortal,frontend,,
Task,HED-475,20396,CP - Implement an option to edit existing documents.,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,5.0,28800,26/Feb/26 8:34 AM,03/Mar/26 10:59 AM,27/Feb/26 12:00 AM,27/Feb/26 12:00 AM,.NET,backend,cordobaPortal,
Task,HED-468,20229,Spike: Mini Todo-Task project using Cordoba Portal backend architecture,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,In Progress,8.0,36000,23/Feb/26 8:56 AM,16/Mar/26 8:48 AM,23/Feb/26 12:00 AM,,.NET,cordobaPortal,Spike,
Task,HED-465,20161,Remove OTP target information from verification response,Handersson Felipe Pacheco Espitia,712020:bba04ff1-46ba-4373-b0a0-5581ead637b3,Medium,Done,1.0,6000,20/Feb/26 11:33 AM,03/Mar/26 10:59 AM,20/Feb/26 12:00 AM,20/Feb/26 12:00 AM,.NET,backend,cordobaPortal,
Task,HED-501,20999,CP - General - Improve and implement server error messages (GraphQL Domain Errors),Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,3.0,,09/Mar/26 11:40 AM,13/Mar/26 8:14 AM,10/Mar/26 12:00 AM,10/Mar/26 12:00 AM,cordobaPortal,frontend,react,
Task,HED-500,20998,CP - General - Improve and implement server error messages (GraphQL Unhandled Errors),Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,3.0,,09/Mar/26 11:40 AM,13/Mar/26 8:15 AM,09/Mar/26 12:00 AM,09/Mar/26 12:00 AM,cordobaPortal,frontend,react,
Task,HED-437,19676,CP - The error message is not customized (Size greater than 3MB or not a PDF).,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,1.0,5400,16/Feb/26 2:44 PM,02/Mar/26 11:53 AM,24/Feb/26 12:00 AM,24/Feb/26 12:00 AM,cordobaPortal,react,,
Task,HED-434,19670,CP - Implement an option to delete existing documents (back and front end),Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,8.0,64800,16/Feb/26 2:42 PM,09/Mar/26 12:24 PM,24/Feb/26 12:00 AM,26/Feb/26 12:00 AM,backend,cordobaPortal,frontend,
Task,HED-430,19600,CP - The task detail modal must remain open after a document is successfully uploaded.,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,1.0,3600,16/Feb/26 12:02 PM,03/Mar/26 11:15 AM,03/Mar/26 12:00 AM,03/Mar/26 12:00 AM,cordobaPortal,frontend,,
Task,HED-415,19575,CP - Block the user when he fails the OTP code more than 5 times for 5 minutes (same as user block),Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,1.0,5400,16/Feb/26 11:47 AM,03/Mar/26 9:18 AM,02/Mar/26 12:00 AM,03/Mar/26 12:00 AM,backend,cordobaPortal,frontend,
Task,HED-414,19573,CP - Implement the message informing the user that their account is locked and they must wait five minutes,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,2.0,9000,16/Feb/26 11:45 AM,02/Mar/26 11:38 AM,23/Feb/26 12:00 AM,23/Feb/26 12:00 AM,.NET,backend,cordobaPortal,
Task,HED-521,21371,"CP - Tasks: BUG: ""Overdue: Days"" is not counting the days",Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,1.0,1800,12/Mar/26 2:02 PM,12/Mar/26 2:21 PM,12/Mar/26 12:00 AM,12/Mar/26 12:00 AM,cordobaPortal,,,
Task,HED-520,21370,CP - Tasks - Change the input label from Notes to Description and prevent the edition or update of this input.,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,In Progress,1.0,,12/Mar/26 1:45 PM,16/Mar/26 8:48 AM,12/Mar/26 12:00 AM,12/Mar/26 12:00 AM,cordobaPortal,,,
Task,HED-517,21303,Start Claude training course,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,To Do,1.0,,12/Mar/26 11:55 AM,16/Mar/26 8:48 AM,12/Mar/26 12:00 AM,12/Mar/26 12:00 AM,courses,,,
Bug,HED-511,21233,Investigate login issue with Aren’s account in Cordoba Portal,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,2.0,10800,12/Mar/26 7:59 AM,13/Mar/26 11:56 AM,11/Mar/26 12:00 AM,11/Mar/26 12:00 AM,bug,meeting,,
Task,HED-510,21232,"Execute UAT for Support i18n, Notifications, and Dashboard",Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,2.0,14400,12/Mar/26 7:55 AM,13/Mar/26 11:55 AM,11/Mar/26 12:00 AM,11/Mar/26 12:00 AM,cordobaPortal,meeting,,
Task,HED-492,20862,Quality time with the boss,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,5.0,57600,05/Mar/26 8:37 AM,13/Mar/26 8:15 AM,04/Mar/26 12:00 AM,05/Mar/26 12:00 AM,meeting,,,
Task,HED-490,20828,CP - General - Improve and implement server error messages (REST),Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,5.0,28800,03/Mar/26 11:23 AM,12/Mar/26 3:50 PM,04/Mar/26 12:00 AM,06/Mar/26 12:00 AM,cordobaPortal,frontend,react,
Task,HED-483,20629,CP - Update AWS Secrets Manager,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,2.0,7200,02/Mar/26 11:10 AM,10/Mar/26 10:10 AM,02/Mar/26 12:00 AM,02/Mar/26 12:00 AM,awsSecretsManager,cordobaPortal,,
Task,HED-476,20429,CP - Update documents sorting to be date-based only (backend),Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,1.0,1800,26/Feb/26 9:12 AM,03/Mar/26 9:18 AM,02/Mar/26 12:00 AM,03/Mar/26 12:00 AM,backend,cordobaPortal,,
Task,HED-472,20329,Investigate branch protection for Cordoba Portal repositories,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,1.0,1800,24/Feb/26 11:28 AM,06/Mar/26 1:41 PM,05/Mar/26 12:00 AM,05/Mar/26 12:00 AM,github,,,
Task,HED-471,20296,CP - Implement an option to edit existing documents.,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,5.0,36000,24/Feb/26 10:45 AM,09/Mar/26 12:23 PM,27/Feb/26 12:00 AM,02/Mar/26 12:00 AM,cordobaPortal,frontend,graphql,react
Task,HED-467,20196,Review Front-end Error Management,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,2.0,10800,20/Feb/26 1:37 PM,11/Mar/26 9:17 AM,20/Feb/26 12:00 AM,03/Mar/26 12:00 AM,cordobaPortal,frontend,,
Task,HED-452,19764,CP - Implement the message informing the user that he reached the OTP resend limit.,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,Done,1.0,3600,17/Feb/26 9:18 AM,02/Mar/26 11:52 AM,24/Feb/26 12:00 AM,24/Feb/26 12:00 AM,.NET,backend,cordobaPortal,
Story,HED-453,19797,Automate GitHub action for package bump,Nicolás Díaz,712020:70eb7cf2-a1d1-4b9e-9abd-a028bde7187c,Medium,To Do,5.0,,18/Feb/26 8:24 AM,16/Mar/26 8:48 AM,,,ci/cd,github,react,
Task,HED-525,21471,Slack Bug / Fail,rhiraldo,712020:fd36cadf-9806-42d0-93a9-02002d8431e5,Medium,In Progress,,,13/Mar/26 10:19 AM,16/Mar/26 8:48 AM,,,slack,,,
Task,HED-507,21165,SPIKE Automate iOS alerts and notifications,rhiraldo,712020:fd36cadf-9806-42d0-93a9-02002d8431e5,High,In Progress,,,11/Mar/26 10:21 AM,16/Mar/26 8:48 AM,,,android,DevOps,,
Task,HED-487,20729,CX - Release the latest version of the iOS application.,rhiraldo,712020:fd36cadf-9806-42d0-93a9-02002d8431e5,High,Done,1.0,,03/Mar/26 9:14 AM,10/Mar/26 10:10 AM,03/Mar/26 12:00 AM,03/Mar/26 12:00 AM,,,,
Task,HED-482,20596,Code Reviews Felipe + Nico,rhiraldo,712020:fd36cadf-9806-42d0-93a9-02002d8431e5,Medium,Done,2.0,,02/Mar/26 9:59 AM,02/Mar/26 4:35 PM,,,,,,
Task,HED-474,20363,CX - Update the carriers list in two places for Android,rhiraldo,712020:fd36cadf-9806-42d0-93a9-02002d8431e5,High,Done,2.0,,25/Feb/26 8:18 AM,10/Mar/26 10:10 AM,25/Feb/26 12:00 AM,,ios,swift,,
Task,HED-473,20362,CX - Update the carriers list in two places for iOS,rhiraldo,712020:fd36cadf-9806-42d0-93a9-02002d8431e5,High,Done,2.0,,25/Feb/26 8:18 AM,09/Mar/26 2:14 PM,25/Feb/26 12:00 AM,,ios,swift,,
Task,HED-470,20263,CX - Swift - How is the carriers list getting the ...,rhiraldo,712020:fd36cadf-9806-42d0-93a9-02002d8431e5,High,Done,2.0,,23/Feb/26 10:42 AM,10/Mar/26 10:10 AM,23/Feb/26 12:00 AM,,,,,
Task,HED-469,20262,CX - SPIKE - Check DB to see how Carriers list and service providers works,rhiraldo,712020:fd36cadf-9806-42d0-93a9-02002d8431e5,High,Done,2.0,,23/Feb/26 10:37 AM,10/Mar/26 10:10 AM,23/Feb/26 12:00 AM,,,,,
Task,HED-73,13863,Roberto's initial questions - project foundations,rhiraldo,712020:fd36cadf-9806-42d0-93a9-02002d8431e5,High,BLOCKED,2.0,,09/Dec/25 8:38 AM,16/Mar/26 8:48 AM,09/Dec/25 12:00 AM,,,,,
Task,HED-503,21065,Code review Felipe + Nico - Cordoba Portal,rhiraldo,712020:fd36cadf-9806-42d0-93a9-02002d8431e5,Medium,Done,5.0,,10/Mar/26 4:48 PM,12/Mar/26 2:41 PM,,,,,,
Task,HED-384,18995,SPIKE Unit testing and e2e for iOS,rhiraldo,712020:fd36cadf-9806-42d0-93a9-02002d8431e5,Low,To Do,5.0,,10/Feb/26 2:47 PM,16/Mar/26 8:48 AM,,,,,,
Task,HED-394,19229,Cordoba Portal - Local Setup,rhiraldo,712020:fd36cadf-9806-42d0-93a9-02002d8431e5,Medium,Done,8.0,,12/Feb/26 10:53 AM,09/Mar/26 3:21 PM,,,.NET,react,,
Task,HED-393,19228,Cordoba Portal Documentation,rhiraldo,712020:fd36cadf-9806-42d0-93a9-02002d8431e5,Medium,Done,5.0,,12/Feb/26 10:50 AM,11/Mar/26 9:27 AM,,,cordobaPortal,documentation,,
Task,HED-506,21132,SPIKE Automate Android alerts and notifications,Samil Vargas,712020:dac1dce4-8aa1-4b7e-8cd4-12205fb8c6e4,High,In Progress,2.0,,11/Mar/26 10:03 AM,16/Mar/26 8:48 AM,,,android,DevOps,,
Task,HED-505,21131,SPIKE Understand how the logs are stored and what kind of info do they use and have,Samil Vargas,712020:dac1dce4-8aa1-4b7e-8cd4-12205fb8c6e4,Medium,To Do,,,11/Mar/26 9:53 AM,16/Mar/26 8:48 AM,,,,,,
Task,HED-481,20595,Code Reviews,Samil Vargas,712020:dac1dce4-8aa1-4b7e-8cd4-12205fb8c6e4,Medium,Done,3.0,,02/Mar/26 9:58 AM,09/Mar/26 11:04 AM,,,,,,
Task,HED-462,20062,SPIKE Unit testing and e2e for android,Samil Vargas,712020:dac1dce4-8aa1-4b7e-8cd4-12205fb8c6e4,Medium,To Do,5.0,,20/Feb/26 9:07 AM,16/Mar/26 8:48 AM,,,,,,
Task,HED-484,20662,Bug: Date of Birth validation inconsistency in CreditorX Android App,Samil Vargas,712020:dac1dce4-8aa1-4b7e-8cd4-12205fb8c6e4,Medium,Done,3.0,,02/Mar/26 2:17 PM,05/Mar/26 7:44 AM,,,,,,
Task,HED-504,21098,[CreditorX][Kazoo]: Install a https certificate on STG server,Samil Vargas,712020:dac1dce4-8aa1-4b7e-8cd4-12205fb8c6e4,Medium,Done,3.0,,11/Mar/26 9:06 AM,11/Mar/26 1:22 PM,,,creditorx,DevOps,kazoo,linux
Story,HED-497,20963,[Spike][Kazoo]: Document tracing ,Samil Vargas,712020:dac1dce4-8aa1-4b7e-8cd4-12205fb8c6e4,Medium,Done,3.0,,09/Mar/26 9:55 AM,11/Mar/26 9:00 AM,,,creditorx,documentation,kazoo,
Task,HED-494,20928,[CreditorX-Android]: Publish app version v1.4.0,Samil Vargas,712020:dac1dce4-8aa1-4b7e-8cd4-12205fb8c6e4,Medium,Done,3.0,,06/Mar/26 11:30 AM,11/Mar/26 8:52 AM,,,android,appstore,creditorx,
Bug,HED-477,20462,[CreditorX]: Android unknown error on dashboard screen,Samil Vargas,712020:dac1dce4-8aa1-4b7e-8cd4-12205fb8c6e4,Medium,To Do,,,26/Feb/26 9:28 AM,16/Mar/26 8:48 AM,,,android,bug,creditorx,
Task,HED-449,19760,Implement Date of Birth input changes in Android app,Samil Vargas,712020:dac1dce4-8aa1-4b7e-8cd4-12205fb8c6e4,Medium,Done,5.0,,17/Feb/26 8:36 AM,05/Mar/26 7:24 AM,,,,,,
Story,HED-444,19751, Implement OTP Verification Screen UI,Samil Vargas,712020:dac1dce4-8aa1-4b7e-8cd4-12205fb8c6e4,Medium,Done,8.0,,17/Feb/26 8:01 AM,06/Mar/26 11:29 AM,,,creditorx,kotlin,,
Bug,HED-488,20762,[CreditorX-Android]: OTP Bug - deleting a number in the otp field sometimes crashes the input field,,,Medium,To Do,,,03/Mar/26 9:54 AM,16/Mar/26 8:48 AM,,,android,bug,creditorx,
Story,HED-448,19759, OTP Flow Testing QA & Validation,,,Medium,To Do,5.0,,17/Feb/26 8:13 AM,16/Mar/26 8:48 AM,,,creditorx,kotlin,,
